"Table 2. Per Capita Personal Income, by Metropolitan Area, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
"Tulsa, OK","60,392","66,024","69,022",74,9.3,4.5,272
"Tuscaloosa, AL","41,586","42,157","44,281",376,1.4,5.0,218
"Twin Falls, ID","47,126","49,739","50,877",318,5.5,2.3,374
"Tyler, TX","62,358","65,495","66,887",90,5.0,2.1,375
"Urban Honolulu, HI","63,755","65,708","69,893",69,3.1,6.4,59
"Utica-Rome, NY","52,374","52,291","55,237",249,-0.2,5.6,123
"Valdosta, GA","43,066","42,527","44,231",377,-1.3,4.0,314
"Vallejo, CA","59,755","61,019","64,514",112,2.1,5.7,115
"Victoria, TX","57,243","56,092","59,170",184,-2.0,5.5,151
"Vineland-Bridgeton, NJ","48,387","47,815","49,367",334,-1.2,3.2,352
"Virginia Beach-Norfolk-Newport News, VA-NC","56,873","58,611","62,575",132,3.1,6.8,28
"Visalia, CA","49,064","46,995","48,253",349,-4.2,2.7,371
"Waco, TX","49,248","50,431","53,528",277,2.4,6.1,72
"Walla Walla, WA","54,678","54,862","56,420",232,0.3,2.8,369
"Warner Robins, GA","48,770","47,938","49,649",332,-1.7,3.6,341
"Washington-Arlington-Alexandria, DC-VA-MD-WV","81,121","84,517","89,396",14,4.2,5.8,112
"Waterloo-Cedar Falls, IA","53,972","55,528","57,114",217,2.9,2.9,368
"Watertown-Fort Drum, NY","52,862","53,146","54,926",253,0.5,3.3,349
"Wausau-Weston, WI","58,053","59,273","61,617",150,2.1,4.0,316
"Weirton-Steubenville, WV-OH","47,824","48,594","50,649",321,1.6,4.2,300
"Wenatchee, WA","57,722","58,989","62,458",137,2.2,5.9,99
"Wheeling, WV-OH","51,555","53,481","56,458",231,3.7,5.6,139
"Wichita, KS","56,548","57,170","60,375",164,1.1,5.6,127
"Wichita Falls, TX","50,624","53,342","56,148",236,5.4,5.3,184
"Williamsport, PA","50,449","50,940","53,630",275,1.0,5.3,177
"Wilmington, NC","57,786","59,442","62,278",139,2.9,4.8,249
"Winchester, VA-WV","57,829","58,837","62,115",141,1.7,5.6,135
"Winston-Salem, NC","53,449","54,744","57,101",218,2.4,4.3,291
"Worcester, MA-CT","63,348","65,083","67,810",86,2.7,4.2,304
"Yakima, WA","49,918","49,680","51,488",306,-0.5,3.6,336
"York-Hanover, PA","57,329","58,305","60,915",159,1.7,4.5,279
"Youngstown-Warren-Boardman, OH-PA","48,878","49,271","51,869",300,0.8,5.3,179
"Yuba City, CA","51,568","50,207","52,354",295,-2.6,4.3,296
"Yuma, AZ","44,461","45,028","46,441",370,1.3,3.1,359
"1. Per capita personal income was computed using U.S. Census Bureau midyear population estimates for 2021 through 2023, released in March 2024.",,,,,,,
"Note. Metropolitan areas are defined (geographically delineated) by the Office of Management and Budget (OMB) Bulletin No. 20-01, issued March 6, 2020.",,,,,,,
U.S. Bureau of Economic Analysis,,,,,,,
