"Table 2. Per Capita Personal Income, by Metropolitan Area, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in United States,Percent change,,Rank in United States
"Columbus, GA-AL","46,669","47,512","49,717",331,1.8,4.6,260
"Columbus, IN","60,392","62,848","65,564",103,4.1,4.3,289
"Columbus, OH","60,921","62,311","65,277",106,2.3,4.8,251
"Corpus Christi, TX","53,136","53,182","56,264",234,0.1,5.8,110
"Corvallis, OR","55,284","56,253","60,307",166,1.8,7.2,16
"Crestview-Fort Walton Beach-Destin, FL","65,538","66,399","69,941",68,1.3,5.3,168
"Cumberland, MD-WV","48,276","47,150","49,268",336,-2.3,4.5,278
"Dallas-Fort Worth-Arlington, TX","67,666","70,887","74,165",48,4.8,4.6,262
"Dalton, GA","44,259","44,001","45,373",372,-0.6,3.1,360
"Danville, IL","49,237","49,732","51,471",307,1.0,3.5,343
"Daphne-Fairhope-Foley, AL","56,285","57,621","60,969",158,2.4,5.8,105
"Davenport-Moline-Rock Island, IA-IL","55,923","57,360","60,134",170,2.6,4.8,241
"Dayton-Kettering, OH","56,013","56,612","59,915",177,1.1,5.8,104
"Decatur, AL","45,604","46,778","48,528",346,2.6,3.7,329
"Decatur, IL","56,052","57,486","60,030",174,2.6,4.4,284
"Deltona-Daytona Beach-Ormond Beach, FL","52,896","53,695","57,280",215,1.5,6.7,35
"Denver-Aurora-Lakewood, CO","79,446","86,141","89,297",15,8.4,3.7,334
"Des Moines-West Des Moines, IA","63,195","65,423","68,420",81,3.5,4.6,267
"Detroit-Warren-Dearborn, MI","60,724","62,545","66,098",98,3.0,5.7,119
"Dothan, AL","50,131","50,430","52,512",292,0.6,4.1,306
"Dover, DE","49,496","50,931","52,494",294,2.9,3.1,365
"Dubuque, IA","57,897","61,190","63,435",128,5.7,3.7,332
"Duluth, MN-WI","54,093","54,990","57,316",214,1.7,4.2,299
"Durham-Chapel Hill, NC","62,626","65,122","68,654",77,4.0,5.4,158
"East Stroudsburg, PA","51,663","51,977","54,716",255,0.6,5.3,180
"Eau Claire, WI","55,502","57,015","59,135",185,2.7,3.7,330
"El Centro, CA","48,487","45,622","47,991",351,-5.9,5.2,194
"Elizabethtown-Fort Knox, KY","50,683","51,431","53,708",272,1.5,4.4,282
